A̱o,variable,value
2011,hidro,72.5693380995919
2012,hidro,71.09261868099466
2013,hidro,66.94326541048206
2014,hidro,65.74917228108919
2015,hidro,74.610129916443
2016,hidro,73.76992466344677
2017,hidro,76.72717483308304
2018,hidro,72.55576524291847
2019,hidro,68.29499210908203
2011,geotermica,13.014773442612206
2012,geotermica,13.785178390066507
2013,geotermica,14.820407146257693
2014,geotermica,15.055661156878733
2015,geotermica,12.723569277379287
2016,geotermica,12.312051167682107
2017,geotermica,9.884588913402629
2018,geotermica,8.42336844871936
2019,geotermica,13.198641952536208
2011,eolica,4.215805052038186
2012,eolica,5.193296858107002
2013,eolica,4.734848998908334
2014,eolica,7.191944052536801
2015,eolica,9.98467702277944
2016,eolica,10.54525363374338
2017,eolica,11.386460849492016
2018,eolica,15.644295827318109
2019,eolica,15.674797709634095
2011,biomasa,1.4137445455685889
2012,biomasa,1.7556159835752274
2013,biomasa,1.7912329091344357
2014,biomasa,1.7679755097979026
2015,biomasa,1.658139342489095
2016,biomasa,1.5763816956711671
2017,biomasa,1.6315638735248157
2018,biomasa,1.5103046361199528
2019,biomasa,1.475096282288107
2011,solar,0.004887939052768269
2012,solar,0.01274994812654938
2013,solar,0.023885276843929805
2014,solar,0.024144350589021556
2015,solar,0.023431514462023215
2016,solar,0.022187096199317226
2017,solar,0.03937427570246115
2018,solar,0.4874023311050428
2019,solar,0.5219810118650998
2011,termica,8.78142266715339
2012,termica,8.160567440946172
2013,termica,11.686387400733604
2014,termica,10.211129838692354
2015,termica,1.0000272339970722
2016,termica,1.7741762115009836
2017,termica,0.3308618176619786
2018,termica,1.3788635138190735
2019,termica,0.8345151733226619
