country,index,value
Denmark,EPI.new,82.5
Luxembourg,EPI.new,82.3
Switzerland,EPI.new,81.5
United Kingdom,EPI.new,81.3
France,EPI.new,80.0
Austria,EPI.new,79.6
Finland,EPI.new,78.9
Sweden,EPI.new,78.7
Norway,EPI.new,77.7
Germany,EPI.new,77.2
Netherlands,EPI.new,75.3
Japan,EPI.new,75.1
Australia,EPI.new,74.9
Spain,EPI.new,74.3
Belgium,EPI.new,73.3
Ireland,EPI.new,72.8
Iceland,EPI.new,72.3
Slovenia,EPI.new,72.0
New Zealand,EPI.new,71.3
Czech Republic,EPI.new,71.0
Italy,EPI.new,71.0
Canada,EPI.new,71.0
Malta,EPI.new,70.7
United States of America,EPI.new,69.3
Greece,EPI.new,69.1
Slovakia,EPI.new,68.3
Portugal,EPI.new,67.0
South Korea,EPI.new,66.5
Israel,EPI.new,65.8
Estonia,EPI.new,65.3
Cyprus,EPI.new,64.8
Romania,EPI.new,64.7
Hungary,EPI.new,63.7
Croatia,EPI.new,63.1
Lithuania,EPI.new,62.9
Latvia,EPI.new,61.6
Poland,EPI.new,60.9
Seychelles,EPI.new,58.2
Singapore,EPI.new,58.1
Taiwan,EPI.new,57.2
Bulgaria,EPI.new,57.0
United Arab Emirates,EPI.new,55.6
North Macedonia,EPI.new,55.4
Chile,EPI.new,55.3
Serbia,EPI.new,55.2
Brunei Darussalam,EPI.new,54.8
Kuwait,EPI.new,53.6
Jordan,EPI.new,53.4
Belarus,EPI.new,53.0
Colombia,EPI.new,52.9
Mexico,EPI.new,52.6
Costa Rica,EPI.new,52.5
Armenia,EPI.new,52.3
Argentina,EPI.new,52.2
Brazil,EPI.new,51.2
Ecuador,EPI.new,51.0
Bahrain,EPI.new,51.0
Russia,EPI.new,50.5
Venezuela,EPI.new,50.3
Ukraine,EPI.new,49.5
Uruguay,EPI.new,49.1
Albania,EPI.new,49.0
Antigua and Barbuda,EPI.new,48.5
Cuba,EPI.new,48.4
Saint Vincent and the Grenadines,EPI.new,48.4
Jamaica,EPI.new,48.2
Iran,EPI.new,48.0
Malaysia,EPI.new,47.9
Trinidad and Tobago,EPI.new,47.5
Panama,EPI.new,47.3
Tunisia,EPI.new,46.7
Azerbaijan,EPI.new,46.5
Paraguay,EPI.new,46.4
Montenegro,EPI.new,46.3
Dominican Republic,EPI.new,46.3
Gabon,EPI.new,45.8
Barbados,EPI.new,45.6
Thailand,EPI.new,45.4
Bosnia and Herzegovina,EPI.new,45.4
Lebanon,EPI.new,45.4
Suriname,EPI.new,45.2
Tonga,EPI.new,45.1
Mauritius,EPI.new,45.1
Algeria,EPI.new,44.8
Kazakhstan,EPI.new,44.7
Dominica,EPI.new,44.6
Moldova,EPI.new,44.4
Uzbekistan,EPI.new,44.3
Bolivia,EPI.new,44.3
Peru,EPI.new,44.0
Saudi Arabia,EPI.new,44.0
Turkmenistan,EPI.new,43.9
Bahamas,EPI.new,43.5
Egypt,EPI.new,43.3
El Salvador,EPI.new,43.1
Grenada,EPI.new,43.1
South Africa,EPI.new,43.1
Saint Lucia,EPI.new,43.1
Turkey,EPI.new,42.6
Morocco,EPI.new,42.3
Belize,EPI.new,41.9
Georgia,EPI.new,41.3
Botswana,EPI.new,40.4
Namibia,EPI.new,40.2
Kyrgyzstan,EPI.new,39.8
Iraq,EPI.new,39.5
Bhutan,EPI.new,39.3
Nicaragua,EPI.new,39.2
Sri Lanka,EPI.new,39.0
Oman,EPI.new,38.5
Philippines,EPI.new,38.4
Malawi,EPI.new,38.3
Burkina Faso,EPI.new,38.3
Tajikistan,EPI.new,38.2
Equatorial Guinea,EPI.new,38.1
Indonesia,EPI.new,37.8
Honduras,EPI.new,37.8
Kiribati,EPI.new,37.7
Sao Tome and Principe,EPI.new,37.6
China,EPI.new,37.3
Samoa,EPI.new,37.3
Qatar,EPI.new,37.1
Zimbabwe,EPI.new,37.0
Central African Republic,EPI.new,36.9
Dem. Rep. Congo,EPI.new,36.4
Guyana,EPI.new,35.9
Maldives,EPI.new,35.6
Uganda,EPI.new,35.6
Timor-Leste,EPI.new,35.3
Sudan,EPI.new,34.8
Laos,EPI.new,34.8
Zambia,EPI.new,34.7
Kenya,EPI.new,34.7
Ethiopia,EPI.new,34.4
Fiji,EPI.new,34.4
Mozambique,EPI.new,33.9
Eswatini,EPI.new,33.8
Rwanda,EPI.new,33.8
Cambodia,EPI.new,33.6
Cameroon,EPI.new,33.6
Viet Nam,EPI.new,33.4
Pakistan,EPI.new,33.1
Micronesia,EPI.new,33.0
Cabo Verde,EPI.new,32.8
Nepal,EPI.new,32.7
Papua New Guinea,EPI.new,32.4
Mongolia,EPI.new,32.2
Comoros,EPI.new,32.1
Guatemala,EPI.new,31.8
Tanzania,EPI.new,31.1
Nigeria,EPI.new,31.0
Niger,EPI.new,30.8
Marshall Islands,EPI.new,30.8
Republic of Congo,EPI.new,30.8
Senegal,EPI.new,30.7
Eritrea,EPI.new,30.4
Benin,EPI.new,30.0
Angola,EPI.new,29.7
Togo,EPI.new,29.5
Mali,EPI.new,29.4
Guinea-Bissau,EPI.new,29.1
Bangladesh,EPI.new,29.0
Vanuatu,EPI.new,28.9
Djibouti,EPI.new,28.1
Lesotho,EPI.new,28.0
Gambia,EPI.new,27.9
Mauritania,EPI.new,27.7
Ghana,EPI.new,27.6
India,EPI.new,27.6
Burundi,EPI.new,27.0
Haiti,EPI.new,27.0
Solomon Islands,EPI.new,26.7
Chad,EPI.new,26.7
Madagascar,EPI.new,26.5
Guinea,EPI.new,26.4
Cote d'Ivoire,EPI.new,25.8
Sierra Leone,EPI.new,25.7
Afghanistan,EPI.new,25.5
Myanmar,EPI.new,25.1
Liberia,EPI.new,22.6
Denmark,AIR.new,85.5
Luxembourg,AIR.new,87.2
Switzerland,AIR.new,90.6
United Kingdom,AIR.new,84.7
France,AIR.new,88.1
Austria,AIR.new,81.3
Finland,AIR.new,98.8
Sweden,AIR.new,98.2
Norway,AIR.new,97.9
Germany,AIR.new,81.1
Netherlands,AIR.new,82.4
Japan,AIR.new,85.9
Australia,AIR.new,98.2
Spain,AIR.new,80.2
Belgium,AIR.new,80.7
Ireland,AIR.new,94.0
Iceland,AIR.new,98.1
Slovenia,AIR.new,60.9
New Zealand,AIR.new,97.4
Czech Republic,AIR.new,58.8
Italy,AIR.new,75.9
Canada,AIR.new,94.8
Malta,AIR.new,77.6
United States of America,AIR.new,84.2
Greece,AIR.new,67.5
Slovakia,AIR.new,56.2
Portugal,AIR.new,84.4
South Korea,AIR.new,71.7
Israel,AIR.new,76.5
Estonia,AIR.new,80.3
Cyprus,AIR.new,73.1
Romania,AIR.new,43.6
Hungary,AIR.new,42.8
Croatia,AIR.new,50.8
Lithuania,AIR.new,62.7
Latvia,AIR.new,54.8
Poland,AIR.new,44.7
Seychelles,AIR.new,53.6
Singapore,AIR.new,76.9
Taiwan,AIR.new,53.2
Bulgaria,AIR.new,33.0
United Arab Emirates,AIR.new,48.6
North Macedonia,AIR.new,26.5
Chile,AIR.new,56.1
Serbia,AIR.new,33.6
Brunei Darussalam,AIR.new,68.4
Kuwait,AIR.new,55.0
Jordan,AIR.new,58.0
Belarus,AIR.new,49.9
Colombia,AIR.new,49.1
Mexico,AIR.new,40.8
Costa Rica,AIR.new,56.2
Armenia,AIR.new,36.3
Argentina,AIR.new,56.9
Brazil,AIR.new,50.0
Ecuador,AIR.new,48.7
Bahrain,AIR.new,41.2
Russia,AIR.new,54.1
Venezuela,AIR.new,51.3
Ukraine,AIR.new,39.8
Uruguay,AIR.new,67.7
Albania,AIR.new,41.2
Antigua and Barbuda,AIR.new,57.5
Cuba,AIR.new,53.9
Saint Vincent and the Grenadines,AIR.new,42.6
Jamaica,AIR.new,43.6
Iran,AIR.new,49.2
Malaysia,AIR.new,50.3
Trinidad and Tobago,AIR.new,57.2
Panama,AIR.new,56.0
Tunisia,AIR.new,48.7
Azerbaijan,AIR.new,24.9
Paraguay,AIR.new,47.0
Montenegro,AIR.new,33.9
Dominican Republic,AIR.new,37.4
Gabon,AIR.new,28.2
Barbados,AIR.new,66.0
Thailand,AIR.new,40.6
Bosnia and Herzegovina,AIR.new,31.6
Lebanon,AIR.new,47.8
Suriname,AIR.new,37.4
Tonga,AIR.new,39.5
Mauritius,AIR.new,51.1
Algeria,AIR.new,45.3
Kazakhstan,AIR.new,32.0
Dominica,AIR.new,44.2
Moldova,AIR.new,44.3
Uzbekistan,AIR.new,15.0
Bolivia,AIR.new,32.4
Peru,AIR.new,46.0
Saudi Arabia,AIR.new,37.4
Turkmenistan,AIR.new,42.0
Bahamas,AIR.new,55.6
Egypt,AIR.new,35.3
El Salvador,AIR.new,42.6
Grenada,AIR.new,42.9
South Africa,AIR.new,28.9
Saint Lucia,AIR.new,46.3
Turkey,AIR.new,49.5
Morocco,AIR.new,27.0
Belize,AIR.new,39.4
Georgia,AIR.new,31.1
Botswana,AIR.new,19.7
Namibia,AIR.new,24.4
Kyrgyzstan,AIR.new,27.0
Iraq,AIR.new,36.3
Bhutan,AIR.new,24.4
Nicaragua,AIR.new,41.7
Sri Lanka,AIR.new,37.8
Oman,AIR.new,36.4
Philippines,AIR.new,30.4
Malawi,AIR.new,39.6
Burkina Faso,AIR.new,28.9
Tajikistan,AIR.new,15.2
Equatorial Guinea,AIR.new,24.6
Indonesia,AIR.new,26.8
Honduras,AIR.new,35.4
Kiribati,AIR.new,29.2
Sao Tome and Principe,AIR.new,24.6
China,AIR.new,27.1
Samoa,AIR.new,33.4
Qatar,AIR.new,48.6
Zimbabwe,AIR.new,27.2
Central African Republic,AIR.new,22.0
Dem. Rep. Congo,AIR.new,29.9
Guyana,AIR.new,31.9
Maldives,AIR.new,51.2
Uganda,AIR.new,32.6
Timor-Leste,AIR.new,33.6
Sudan,AIR.new,17.6
Laos,AIR.new,27.8
Zambia,AIR.new,27.0
Kenya,AIR.new,34.9
Ethiopia,AIR.new,38.0
Fiji,AIR.new,30.0
Mozambique,AIR.new,40.7
Eswatini,AIR.new,21.1
Rwanda,AIR.new,30.9
Cambodia,AIR.new,30.1
Cameroon,AIR.new,16.4
Viet Nam,AIR.new,32.0
Pakistan,AIR.new,9.9
Micronesia,AIR.new,29.0
Cabo Verde,AIR.new,26.5
Nepal,AIR.new,14.6
Papua New Guinea,AIR.new,33.9
Mongolia,AIR.new,17.4
Comoros,AIR.new,37.7
Guatemala,AIR.new,34.3
Tanzania,AIR.new,35.8
Nigeria,AIR.new,18.0
Niger,AIR.new,30.3
Marshall Islands,AIR.new,32.5
Republic of Congo,AIR.new,20.0
Senegal,AIR.new,25.4
Eritrea,AIR.new,22.1
Benin,AIR.new,25.6
Angola,AIR.new,26.8
Togo,AIR.new,24.1
Mali,AIR.new,29.2
Guinea-Bissau,AIR.new,22.1
Bangladesh,AIR.new,20.2
Vanuatu,AIR.new,28.6
Djibouti,AIR.new,21.1
Lesotho,AIR.new,15.3
Gambia,AIR.new,23.9
Mauritania,AIR.new,22.4
Ghana,AIR.new,18.0
India,AIR.new,13.4
Burundi,AIR.new,36.0
Haiti,AIR.new,31.1
Solomon Islands,AIR.new,27.0
Chad,AIR.new,26.8
Madagascar,AIR.new,36.1
Guinea,AIR.new,24.7
Cote d'Ivoire,AIR.new,20.3
Sierra Leone,AIR.new,25.1
Afghanistan,AIR.new,17.7
Myanmar,AIR.new,20.7
Liberia,AIR.new,30.9
Denmark,H2O.new,97.4
Luxembourg,H2O.new,98.6
Switzerland,H2O.new,100.0
United Kingdom,H2O.new,100.0
France,H2O.new,96.2
Austria,H2O.new,94.7
Finland,H2O.new,100.0
Sweden,H2O.new,98.5
Norway,H2O.new,100.0
Germany,H2O.new,99.0
Netherlands,H2O.new,100.0
Japan,H2O.new,95.0
Australia,H2O.new,87.0
Spain,H2O.new,96.8
Belgium,H2O.new,93.6
Ireland,H2O.new,97.4
Iceland,H2O.new,100.0
Slovenia,H2O.new,74.7
New Zealand,H2O.new,80.4
Czech Republic,H2O.new,76.4
Italy,H2O.new,98.2
Canada,H2O.new,88.0
Malta,H2O.new,99.8
United States of America,H2O.new,86.1
Greece,H2O.new,98.2
Slovakia,H2O.new,71.8
Portugal,H2O.new,83.4
South Korea,H2O.new,90.7
Israel,H2O.new,92.8
Estonia,H2O.new,61.9
Cyprus,H2O.new,93.9
Romania,H2O.new,55.9
Hungary,H2O.new,62.2
Croatia,H2O.new,70.2
Lithuania,H2O.new,58.3
Latvia,H2O.new,59.0
Poland,H2O.new,71.7
Seychelles,H2O.new,51.4
Singapore,H2O.new,93.2
Taiwan,H2O.new,72.4
Bulgaria,H2O.new,68.3
United Arab Emirates,H2O.new,67.2
North Macedonia,H2O.new,61.1
Chile,H2O.new,68.1
Serbia,H2O.new,65.5
Brunei Darussalam,H2O.new,85.6
Kuwait,H2O.new,67.4
Jordan,H2O.new,62.6
Belarus,H2O.new,60.5
Colombia,H2O.new,55.8
Mexico,H2O.new,52.8
Costa Rica,H2O.new,66.1
Armenia,H2O.new,57.2
Argentina,H2O.new,64.7
Brazil,H2O.new,46.1
Ecuador,H2O.new,50.2
Bahrain,H2O.new,56.6
Russia,H2O.new,55.4
Venezuela,H2O.new,46.8
Ukraine,H2O.new,55.1
Uruguay,H2O.new,70.8
Albania,H2O.new,54.0
Antigua and Barbuda,H2O.new,50.0
Cuba,H2O.new,49.6
Saint Vincent and the Grenadines,H2O.new,43.5
Jamaica,H2O.new,49.3
Iran,H2O.new,53.6
Malaysia,H2O.new,57.6
Trinidad and Tobago,H2O.new,53.4
Panama,H2O.new,43.5
Tunisia,H2O.new,52.6
Azerbaijan,H2O.new,45.5
Paraguay,H2O.new,47.5
Montenegro,H2O.new,65.6
Dominican Republic,H2O.new,38.9
Gabon,H2O.new,27.6
Barbados,H2O.new,51.9
Thailand,H2O.new,55.8
Bosnia and Herzegovina,H2O.new,61.4
Lebanon,H2O.new,59.7
Suriname,H2O.new,39.3
Tonga,H2O.new,46.4
Mauritius,H2O.new,65.5
Algeria,H2O.new,53.2
Kazakhstan,H2O.new,55.1
Dominica,H2O.new,47.5
Moldova,H2O.new,50.0
Uzbekistan,H2O.new,52.0
Bolivia,H2O.new,40.0
Peru,H2O.new,43.0
Saudi Arabia,H2O.new,59.3
Turkmenistan,H2O.new,47.3
Bahamas,H2O.new,55.0
Egypt,H2O.new,36.6
El Salvador,H2O.new,41.6
Grenada,H2O.new,47.0
South Africa,H2O.new,24.6
Saint Lucia,H2O.new,45.4
Turkey,H2O.new,52.6
Morocco,H2O.new,40.8
Belize,H2O.new,42.6
Georgia,H2O.new,51.6
Botswana,H2O.new,20.8
Namibia,H2O.new,19.6
Kyrgyzstan,H2O.new,45.5
Iraq,H2O.new,49.6
Bhutan,H2O.new,31.2
Nicaragua,H2O.new,42.8
Sri Lanka,H2O.new,48.4
Oman,H2O.new,58.3
Philippines,H2O.new,39.0
Malawi,H2O.new,12.0
Burkina Faso,H2O.new,7.7
Tajikistan,H2O.new,30.9
Equatorial Guinea,H2O.new,33.1
Indonesia,H2O.new,28.4
Honduras,H2O.new,31.8
Kiribati,H2O.new,16.3
Sao Tome and Principe,H2O.new,35.2
China,H2O.new,59.4
Samoa,H2O.new,49.2
Qatar,H2O.new,66.5
Zimbabwe,H2O.new,16.8
Central African Republic,H2O.new,0.0
Dem. Rep. Congo,H2O.new,13.5
Guyana,H2O.new,35.3
Maldives,H2O.new,47.8
Uganda,H2O.new,17.6
Timor-Leste,H2O.new,25.9
Sudan,H2O.new,22.3
Laos,H2O.new,26.5
Zambia,H2O.new,13.4
Kenya,H2O.new,13.6
Ethiopia,H2O.new,10.9
Fiji,H2O.new,34.6
Mozambique,H2O.new,16.4
Eswatini,H2O.new,12.6
Rwanda,H2O.new,16.9
Cambodia,H2O.new,34.2
Cameroon,H2O.new,7.7
Viet Nam,H2O.new,52.7
Pakistan,H2O.new,17.4
Micronesia,H2O.new,35.5
Cabo Verde,H2O.new,35.5
Nepal,H2O.new,27.0
Papua New Guinea,H2O.new,15.5
Mongolia,H2O.new,43.1
Comoros,H2O.new,15.2
Guatemala,H2O.new,28.2
Tanzania,H2O.new,18.4
Nigeria,H2O.new,4.9
Niger,H2O.new,1.4
Marshall Islands,H2O.new,32.2
Republic of Congo,H2O.new,14.6
Senegal,H2O.new,13.1
Eritrea,H2O.new,6.3
Benin,H2O.new,13.4
Angola,H2O.new,12.8
Togo,H2O.new,5.1
Mali,H2O.new,8.2
Guinea-Bissau,H2O.new,6.7
Bangladesh,H2O.new,27.3
Vanuatu,H2O.new,21.5
Djibouti,H2O.new,18.3
Lesotho,H2O.new,7.2
Gambia,H2O.new,19.1
Mauritania,H2O.new,13.6
Ghana,H2O.new,20.8
India,H2O.new,19.4
Burundi,H2O.new,5.3
Haiti,H2O.new,14.0
Solomon Islands,H2O.new,14.0
Chad,H2O.new,0.0
Madagascar,H2O.new,5.9
Guinea,H2O.new,11.2
Cote d'Ivoire,H2O.new,17.2
Sierra Leone,H2O.new,11.5
Afghanistan,H2O.new,28.0
Myanmar,H2O.new,30.8
Liberia,H2O.new,9.8
Denmark,HMT.new,100.0
Luxembourg,HMT.new,96.1
Switzerland,HMT.new,95.0
United Kingdom,HMT.new,94.6
France,HMT.new,84.0
Austria,HMT.new,91.7
Finland,HMT.new,100.0
Sweden,HMT.new,98.0
Norway,HMT.new,94.0
Germany,HMT.new,90.7
Netherlands,HMT.new,95.1
Japan,HMT.new,100.0
Australia,HMT.new,77.2
Spain,HMT.new,71.3
Belgium,HMT.new,67.4
Ireland,HMT.new,82.7
Iceland,HMT.new,96.1
Slovenia,HMT.new,88.1
New Zealand,HMT.new,75.5
Czech Republic,HMT.new,76.4
Italy,HMT.new,81.5
Canada,HMT.new,96.6
Malta,HMT.new,50.6
United States of America,HMT.new,75.9
Greece,HMT.new,69.4
Slovakia,HMT.new,69.2
Portugal,HMT.new,65.3
South Korea,HMT.new,89.4
Israel,HMT.new,92.1
Estonia,HMT.new,87.4
Cyprus,HMT.new,69.4
Romania,HMT.new,51.4
Hungary,HMT.new,68.2
Croatia,HMT.new,75.1
Lithuania,HMT.new,83.9
Latvia,HMT.new,78.4
Poland,HMT.new,65.3
Seychelles,HMT.new,68.6
Singapore,HMT.new,85.4
Taiwan,HMT.new,73.6
Bulgaria,HMT.new,45.8
United Arab Emirates,HMT.new,54.3
North Macedonia,HMT.new,46.7
Chile,HMT.new,97.8
Serbia,HMT.new,51.1
Brunei Darussalam,HMT.new,68.4
Kuwait,HMT.new,56.8
Jordan,HMT.new,46.7
Belarus,HMT.new,57.7
Colombia,HMT.new,61.9
Mexico,HMT.new,45.7
Costa Rica,HMT.new,53.8
Armenia,HMT.new,50.8
Argentina,HMT.new,73.1
Brazil,HMT.new,58.9
Ecuador,HMT.new,63.0
Bahrain,HMT.new,58.7
Russia,HMT.new,72.2
Venezuela,HMT.new,43.1
Ukraine,HMT.new,69.3
Uruguay,HMT.new,62.3
Albania,HMT.new,46.1
Antigua and Barbuda,HMT.new,60.5
Cuba,HMT.new,48.3
Saint Vincent and the Grenadines,HMT.new,34.7
Jamaica,HMT.new,48.9
Iran,HMT.new,27.4
Malaysia,HMT.new,62.1
Trinidad and Tobago,HMT.new,82.0
Panama,HMT.new,57.5
Tunisia,HMT.new,36.5
Azerbaijan,HMT.new,41.0
Paraguay,HMT.new,51.2
Montenegro,HMT.new,65.2
Dominican Republic,HMT.new,30.0
Gabon,HMT.new,54.1
Barbados,HMT.new,70.4
Thailand,HMT.new,81.6
Bosnia and Herzegovina,HMT.new,42.9
Lebanon,HMT.new,43.6
Suriname,HMT.new,43.2
Tonga,HMT.new,78.8
Mauritius,HMT.new,66.8
Algeria,HMT.new,38.9
Kazakhstan,HMT.new,52.8
Dominica,HMT.new,52.8
Moldova,HMT.new,54.7
Uzbekistan,HMT.new,27.8
Bolivia,HMT.new,43.7
Peru,HMT.new,68.2
Saudi Arabia,HMT.new,35.4
Turkmenistan,HMT.new,43.5
Bahamas,HMT.new,67.1
Egypt,HMT.new,13.5
El Salvador,HMT.new,35.5
Grenada,HMT.new,41.9
South Africa,HMT.new,58.8
Saint Lucia,HMT.new,51.8
Turkey,HMT.new,61.5
Morocco,HMT.new,28.9
Belize,HMT.new,54.5
Georgia,HMT.new,49.9
Botswana,HMT.new,39.8
Namibia,HMT.new,44.5
Kyrgyzstan,HMT.new,40.8
Iraq,HMT.new,29.6
Bhutan,HMT.new,43.3
Nicaragua,HMT.new,34.5
Sri Lanka,HMT.new,72.4
Oman,HMT.new,37.0
Philippines,HMT.new,48.0
Malawi,HMT.new,37.4
Burkina Faso,HMT.new,29.7
Tajikistan,HMT.new,15.7
Equatorial Guinea,HMT.new,40.1
Indonesia,HMT.new,34.6
Honduras,HMT.new,20.7
Kiribati,HMT.new,37.0
Sao Tome and Principe,HMT.new,45.0
China,HMT.new,37.6
Samoa,HMT.new,68.6
Qatar,HMT.new,59.2
Zimbabwe,HMT.new,32.6
Central African Republic,HMT.new,24.0
Dem. Rep. Congo,HMT.new,36.1
Guyana,HMT.new,24.9
Maldives,HMT.new,55.4
Uganda,HMT.new,41.9
Timor-Leste,HMT.new,34.3
Sudan,HMT.new,7.1
Laos,HMT.new,34.7
Zambia,HMT.new,42.4
Kenya,HMT.new,50.6
Ethiopia,HMT.new,35.8
Fiji,HMT.new,77.0
Mozambique,HMT.new,23.7
Eswatini,HMT.new,40.2
Rwanda,HMT.new,45.2
Cambodia,HMT.new,35.0
Cameroon,HMT.new,36.1
Viet Nam,HMT.new,47.8
Pakistan,HMT.new,23.0
Micronesia,HMT.new,41.5
Cabo Verde,HMT.new,59.5
Nepal,HMT.new,27.2
Papua New Guinea,HMT.new,60.3
Mongolia,HMT.new,33.2
Comoros,HMT.new,47.1
Guatemala,HMT.new,30.6
Tanzania,HMT.new,43.6
Nigeria,HMT.new,51.5
Niger,HMT.new,27.3
Marshall Islands,HMT.new,46.6
Republic of Congo,HMT.new,45.1
Senegal,HMT.new,47.7
Eritrea,HMT.new,38.3
Benin,HMT.new,36.8
Angola,HMT.new,37.3
Togo,HMT.new,43.7
Mali,HMT.new,32.5
Guinea-Bissau,HMT.new,28.5
Bangladesh,HMT.new,23.2
Vanuatu,HMT.new,45.6
Djibouti,HMT.new,46.2
Lesotho,HMT.new,25.0
Gambia,HMT.new,37.1
Mauritania,HMT.new,55.8
Ghana,HMT.new,55.3
India,HMT.new,21.0
Burundi,HMT.new,35.8
Haiti,HMT.new,12.1
Solomon Islands,HMT.new,25.5
Chad,HMT.new,29.1
